depth,age
1.108400000000000034e+02,5.339243076566759783e+01
1.108649999999999949e+02,5.339511830653950142e+01
1.108900000000000006e+02,5.339780584741139791e+01
1.109150000000000063e+02,5.340049338828340098e+01
1.109399999999999977e+02,5.340318092915529746e+01
1.109650000000000034e+02,5.340586847002720106e+01
1.109899999999999949e+02,5.340855601089919702e+01
1.110150000000000006e+02,5.341124355177110061e+01
1.110649999999999977e+02,5.341661863351500017e+01
1.110900000000000034e+02,5.341930617438689666e+01
1.111149999999999949e+02,5.342199371525880025e+01
1.111400000000000006e+02,5.342468125613080332e+01
1.111650000000000063e+02,5.342736879700269981e+01
1.111899999999999977e+02,5.343005633787470288e+01
1.112150000000000034e+02,5.343274387874659936e+01
1.112399999999999949e+02,5.343543141961850296e+01
1.112650000000000006e+02,5.343811896049049892e+01
1.112900000000000063e+02,5.344080650136240251e+01
1.113149999999999977e+02,5.344349404223429900e+01
1.113400000000000034e+02,5.344618158310630207e+01
1.113649999999999949e+02,5.344886912397819856e+01
1.113900000000000006e+02,5.345155666485010215e+01
1.114150000000000063e+02,5.345424420572209812e+01
1.114399999999999977e+02,5.345693174659400171e+01
1.114650000000000034e+02,5.345961928746589820e+01
1.114899999999999949e+02,5.346230682833790127e+01
1.115150000000000006e+02,5.346499436920979775e+01
1.115400000000000063e+02,5.346768191008170135e+01
1.115649999999999977e+02,5.347036945095369731e+01
1.115900000000000034e+02,5.347305699182560090e+01
1.116149999999999949e+02,5.347574453269759687e+01
1.116400000000000006e+02,5.347843207356950046e+01
1.116650000000000063e+02,5.348111961444139695e+01
1.116899999999999977e+02,5.348380715531340002e+01
1.117150000000000034e+02,5.348649469618529650e+01
1.117399999999999949e+02,5.348918223705720010e+01
1.117650000000000006e+02,5.349186977792920317e+01
1.117900000000000063e+02,5.349455731880109965e+01
1.118149999999999977e+02,5.349724485967300325e+01
1.118400000000000034e+02,5.349993240054499921e+01
1.118649999999999949e+02,5.350261994141690280e+01
1.118900000000000006e+02,5.350530748228879929e+01
1.119150000000000063e+02,5.350799502316080236e+01
1.119399999999999977e+02,5.351068256403269885e+01
1.119650000000000034e+02,5.351337010490460244e+01
1.119899999999999949e+02,5.351605764577659841e+01
1.120150000000000006e+02,5.351874518664850200e+01
1.120400000000000063e+02,5.352143272752039849e+01
1.120649999999999977e+02,5.352412026839240156e+01
1.120900000000000034e+02,5.352680780926429804e+01
1.121149999999999949e+02,5.352949535013620164e+01
1.121400000000000006e+02,5.353218289100819760e+01
1.121650000000000063e+02,5.353487043188010119e+01
1.121899999999999977e+02,5.353755797275199768e+01
1.122150000000000034e+02,5.354024551362400075e+01
1.122399999999999949e+02,5.354293305449589724e+01
